STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude,Number,Street,City,State,County,Zip
30058,N,Indiana (Harlem-bound),Indiana,Indiana (Green Line),40300,1,,,1,,,,,,,"(41.821732, -87.621371)",41.82182,-87.62154,4003,S Indiana Ave,Chicago,IL,Cook County,60653
30108,S,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,Irving Park (Blue Line),40550,,,1,,,,,,,,"(41.952925, -87.729229)",41.952841,-87.729002,4131,W Irving Park Rd,Chicago,IL,Cook County,60641
30107,N,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,Irving Park (Blue Line),40550,,,1,,,,,,,,"(41.952925, -87.729229)",41.952841,-87.729002,4131,W Irving Park Rd,Chicago,IL,Cook County,60641
30281,N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),41460,1,,,,1,,,,,,"(41.954521, -87.674868)",41.954437,-87.675052,1820,W Irving Park Rd,Chicago,IL,Cook County,60613
30282,S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),41460,1,,,,1,,,,,,"(41.954521, -87.674868)",41.954437,-87.675052,1820,W Irving Park Rd,Chicago,IL,Cook County,60613
30015,S,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),40070,1,,1,,,,,,,,"(41.878183, -87.629296)",41.878026,-87.629099,33,W Jackson Blvd,Chicago,IL,Cook County,60604
30014,N,Jackson/Dearborn (O'Hare-bound),Jackson,Jackson (Blue Line),40070,1,,1,,,,,,,,"(41.878183, -87.629296)",41.878026,-87.629099,33,W Jackson Blvd,Chicago,IL,Cook County,60604
30110,S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),40560,1,1,,,,,,,,,"(41.878153, -87.627596)",41.878036,-87.628044,300,S State St,Chicago,IL,Cook County,60604
30109,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560,1,1,,,,,,,,,"(41.878153, -87.627596)",41.878036,-87.628044,300,S State St,Chicago,IL,Cook County,60604
30228,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190,,1,,,,,,,,,"(42.015876, -87.669092)",42.015779,-87.669024,1523,W Jarvis Ave,Chicago,IL,Cook County,60626
