,long_date,Zip,total_num_crimes,crimes_per_capita,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates
51,1/1/2018,60631,7,0.000242786,0,201801,354500,57,57,32,199.7916667,1270,402931,91,60631,28832,91034,4598,52,0.159,0.001803552,8,63,0.002185072,2,6.94E-05,143,0.011510907,551,0.044353216,99,0.00796909,0,0,3,0.000104051,1,3.47E-05,0,26149.39,4.03
52,1/1/2018,60632,13,0.000148441,0,201801,196050,57,52,28,158.53102,1166,212031,97,60632,87577,42758,14620,102,0.167,0.001164689,3.7,321,0.003665346,4,4.57E-05,682,0.054898173,911,0.073331723,306,0.024631731,2,2.28E-05,45,0.000513834,10,0.000114185,0,26149.39,4.03
53,1/1/2018,60636,11,0.000213796,0,201801,57500,78,70,28,39.9,1155.5,65469,104,60636,51451,27310,14821,26,0.288,0.000505335,2.3,223,0.004334221,2,3.89E-05,931,0.074941641,412,0.033164292,96,0.007727602,0,0,1311,0.025480554,3,5.83E-05,0,26149.39,4.03
54,1/1/2018,60637,18,0.000315292,0,201801,127500,88,99.5,20,87.5,1200,242905,123,60637,57090,28785,8261,39,0.145,0.000683132,2.5,296,0.005184796,4,7.01E-05,282,0.022699831,386,0.0310714,116,0.009337519,3,5.25E-05,779,0.013645122,4,7.01E-05,0,26149.39,4.03
55,1/1/2018,60640,7,9.46E-05,0,201801,275000,154,62.5,92,197.5808824,1200,396808,226,60640,74030,53831,6096,182,0.082,0.002458463,3.3,173,0.00233689,12,0.000162096,360,0.028978508,503,0.040489415,328,0.02640264,3,4.05E-05,22,0.000297177,9,0.000121572,0,26149.39,4.03
56,1/1/2018,60641,8,0.000108366,0,201801,351550,94,51,48,183.6428571,1462.5,409066,154,60641,73824,60073,10767,99,0.146,0.001341027,3.8,230,0.003115518,2,2.71E-05,1014,0.081622796,767,0.06174032,202,0.016260163,1,1.35E-05,14,0.00018964,3,4.06E-05,0,26149.39,4.03
57,1/1/2018,60644,7,0.000118526,0,201801,84050,38,74,8,52.32425828,1322,103453,57,60644,59059,27262,9066,20,0.154,0.000338644,1.8,192,0.003250986,10,0.000169322,432,0.034774209,376,0.030266441,120,0.009659503,0,0,499,0.008449178,3,5.08E-05,0,26149.39,4.03
58,1/1/2018,60647,48,0.000485982,0,201801,537200,141,57,128,135.2613798,750,634814,231,60647,98769,73443,14758,382,0.149,0.00386761,3.1,278,0.002814648,6,6.07E-05,1482,0.119294856,710,0.057152057,431,0.034693713,4,4.05E-05,125,0.001265579,15,0.00015187,0,26149.39,4.03
59,1/1/2018,60653,4,0.000115935,0,201801,279050,95,71,32,138.7318841,1722,327566,155,60653,34502,29569,5851,31,0.17,0.000898499,2.7,127,0.003680946,6,0.000173903,186,0.014972229,168,0.013523304,82,0.00660066,0,0,780,0.022607385,2,5.80E-05,0,26149.39,4.03
60,1/1/2018,60656,3,0.000110583,0,201801,259950,47,78.5,24,158.8940702,1022,249940,73,60656,27129,61599,3154,25,0.116,0.000921523,7.5,56,0.002064212,2,7.37E-05,229,0.018433551,398,0.03203735,51,0.004105289,1,3.69E-05,3,0.000110583,2,7.37E-05,0,26149.39,4.03
