long_date,Zip,permit_count
03/1/2020,60651,16
03/1/2020,60652,3
03/1/2020,60653,6
03/1/2020,60654,3
03/1/2020,60655,8
03/1/2020,60656,3
03/1/2020,60657,16
03/1/2020,60659,5
03/1/2020,60660,9
03/1/2020,60661,46
04/1/2017,60602,43
04/1/2017,60605,12
04/1/2017,60607,18
04/1/2017,60608,25
04/1/2017,60609,10
04/1/2017,60610,43
04/1/2017,60611,10
04/1/2017,60612,9
04/1/2017,60613,16
04/1/2017,60614,35
04/1/2017,60615,7
04/1/2017,60616,8
04/1/2017,60617,17
04/1/2017,60618,36
04/1/2017,60619,16
04/1/2017,60620,12
04/1/2017,60621,3
04/1/2017,60622,30
04/1/2017,60623,23
04/1/2017,60624,20
04/1/2017,60625,33
04/1/2017,60626,1
04/1/2017,60628,8
04/1/2017,60629,15
04/1/2017,60630,13
04/1/2017,60631,8
04/1/2017,60632,17
04/1/2017,60633,1
04/1/2017,60634,22
04/1/2017,60636,13
04/1/2017,60637,20
04/1/2017,60638,6
04/1/2017,60639,21
04/1/2017,60640,15
04/1/2017,60641,11
04/1/2017,60642,14
04/1/2017,60643,8
04/1/2017,60644,3
04/1/2017,60645,10
04/1/2017,60646,9
04/1/2017,60647,39
04/1/2017,60649,8
04/1/2017,60651,21
04/1/2017,60652,5
04/1/2017,60653,7
04/1/2017,60654,13
04/1/2017,60655,9
04/1/2017,60656,3
04/1/2017,60657,24
04/1/2017,60659,8
04/1/2017,60660,11
04/1/2017,60661,25
04/1/2018,60602,38
04/1/2018,60605,13
04/1/2018,60607,19
04/1/2018,60608,31
04/1/2018,60609,18
04/1/2018,60610,45
04/1/2018,60611,14
04/1/2018,60612,5
04/1/2018,60613,29
04/1/2018,60614,31
04/1/2018,60615,9
04/1/2018,60616,11
04/1/2018,60617,23
04/1/2018,60618,34
04/1/2018,60619,15
04/1/2018,60620,11
04/1/2018,60621,8
04/1/2018,60622,34
04/1/2018,60623,35
04/1/2018,60624,21
04/1/2018,60625,26
04/1/2018,60626,4
04/1/2018,60628,14
04/1/2018,60629,9
04/1/2018,60630,8
04/1/2018,60631,13
04/1/2018,60632,18
04/1/2018,60633,1
04/1/2018,60634,19
04/1/2018,60636,12
