Year,long_date,Zip,total_num_crimes,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates,predictions,Raw Diff,Abs Diff
2018,1/1/2018,60631,7,7,201801,354500,57,57,32,199.7916667,1270,402931,91,60631,28832,55316,4598,249,0.159,0.009,8,63,0.002185072,2,6.94E-05,143,0.011510907,551,0.044353216,99,0.00796909,0,0,3,0.000104051,1,3.47E-05,0,26149.39,4.03,203.0697217,-3.278054975,3.278054975
2018,1/1/2018,60632,13,13,201801,196050,57,52,28,158.53102,1166,212031,97,60632,87577,37406,14620,410,0.167,0.005,3.7,321,0.003665346,4,4.57E-05,682,0.054898173,911,0.073331723,306,0.024631731,2,2.28E-05,45,0.000513834,10,0.000114185,0,26149.39,4.03,187.9957272,-29.46470716,29.46470716
2018,1/1/2018,60636,11,11,201801,57500,78,70,28,39.9,1155.5,65469,104,60636,51451,27727,14821,118,0.288,0.002,2.3,223,0.004334221,2,3.89E-05,931,0.074941641,412,0.033164292,96,0.007727602,0,0,1311,0.025480554,3,5.83E-05,0,26149.39,4.03,59.25550783,-19.35550783,19.35550783
2018,1/1/2018,60637,18,18,201801,127500,88,99.5,20,87.5,1200,242905,123,60637,57090,23228,8261,151,0.145,0.003,2.5,296,0.005184796,4,7.01E-05,282,0.022699831,386,0.0310714,116,0.009337519,3,5.25E-05,779,0.013645122,4,7.01E-05,0,26149.39,4.03,140.9741944,-53.47419437,53.47419437
2018,1/1/2018,60640,7,7,201801,275000,154,62.5,92,197.5808824,1200,396808,226,60640,74030,32466,6096,695,0.082,0.009,3.3,173,0.00233689,12,0.000162096,360,0.028978508,503,0.040489415,328,0.02640264,3,4.05E-05,22,0.000297177,9,0.000121572,0,26149.39,4.03,211.1878221,-13.60693972,13.60693972
2018,1/1/2018,60641,8,8,201801,351550,94,51,48,183.6428571,1462.5,409066,154,60641,73824,42182,10767,394,0.146,0.005,3.8,230,0.003115518,2,2.71E-05,1014,0.081622796,767,0.06174032,202,0.016260163,1,1.35E-05,14,0.00018964,3,4.06E-05,0,26149.39,4.03,135.0340095,48.60884764,48.60884764
2018,1/1/2018,60644,7,7,201801,84050,38,74,8,52.32425828,1322,103453,57,60644,59059,26930,9066,88,0.154,0.001,1.8,192,0.003250986,10,0.000169322,432,0.034774209,376,0.030266441,120,0.009659503,0,0,499,0.008449178,3,5.08E-05,0,26149.39,4.03,108.6734074,-56.34914917,56.34914917
2018,1/1/2018,60647,48,48,201801,537200,141,57,128,135.2613798,750,634814,231,60647,98769,35283,14758,1428,0.149,0.014,3.1,278,0.002814648,6,6.07E-05,1482,0.119294856,710,0.057152057,431,0.034693713,4,4.05E-05,125,0.001265579,15,0.00015187,0,26149.39,4.03,204.4341718,-69.17279198,69.17279198
2018,1/1/2018,60653,4,4,201801,279050,95,71,32,138.7318841,1722,327566,155,60653,34502,14205,5851,118,0.17,0.003,2.7,127,0.003680946,6,0.000173903,186,0.014972229,168,0.013523304,82,0.00660066,0,0,780,0.022607385,2,5.80E-05,0,26149.39,4.03,92.94328209,45.78860201,45.78860201
2018,1/1/2018,60656,3,3,201801,259950,47,78.5,24,158.8940702,1022,249940,73,60656,27129,47512,3154,106,0.116,0.004,7.5,56,0.002064212,2,7.37E-05,229,0.018433551,398,0.03203735,51,0.004105289,1,3.69E-05,3,0.000110583,2,7.37E-05,0,26149.39,4.03,188.5123089,-29.61823868,29.61823868
2018,1/1/2018,60657,17,17,201801,593300,268,59.5,160,267.8928571,1250,804427,395,60657,66789,55647,8048,1655,0.12,0.025,7.5,158,0.002365659,10,0.000149725,1018,0.08194478,367,0.029541979,442,0.035579168,7,0.000104808,22,0.000329396,7,0.000104808,1,26149.39,4.03,283.1730995,-15.28024244,15.28024244
2018,1/1/2018,60660,6,6,201801,209950,95,72,36,159.2666667,1000,275353,142,60660,47726,34293,4140,289,0.087,0.006,4.7,84,0.001760047,4,8.38E-05,338,0.027207599,495,0.039845448,181,0.01456975,0,0,22,0.000460965,3,6.29E-05,1,26149.39,4.03,153.7886179,5.478048763,5.478048763
2019,1/1/2019,60602,32,32,201901,1000050,18,95.5,4,517.5,1700,1225500,22,60602,70,23750,506,208,7.229,2.971,4.5,21,0.3,6,0.085714286,9,0.000724463,12,0.00096595,80,0.006439668,0,0,3,0.042857143,0,0,0,24999.67,4.46,471.290759,46.20924103,46.20924103
2019,1/1/2019,60605,8,8,201901,439950,170,68,104,317.8742663,1295,805301,213,60605,12423,56151,2357,835,0.19,0.067,8.5,92,0.007405619,10,0.000804959,99,0.00796909,162,0.013040328,176,0.01416727,4,0.000321983,40,0.003219834,3,0.000241488,1,24999.67,4.46,312.2283981,5.645868178,5.645868178
2019,1/1/2019,60607,20,20,201901,499050,125,57.5,100,337.3066667,1270,664588,221,60607,15552,40972,3678,1105,0.236,0.071,8.5,133,0.008551955,8,0.000514403,248,0.019962972,337,0.027127103,343,0.027610078,6,0.000385802,92,0.005915638,3,0.000192901,1,24999.67,4.46,355.2065444,-17.89987771,17.89987771
2019,1/1/2019,60608,21,21,201901,300049,84,58,56,232.5757576,1200,356803,121,60608,92472,28026,13453,503,0.145,0.005,3.5,348,0.003763301,12,0.000129769,662,0.053288256,1081,0.087016019,427,0.03437173,1,1.08E-05,344,0.003720045,14,0.000151397,0,24999.67,4.46,207.048459,25.52729858,25.52729858
2019,1/1/2019,60609,13,13,201901,227450,67,74,24,155.2430556,1380.5,261309,96,60609,79469,25705,15714,271,0.198,0.003,2.8,417,0.005247329,8,0.000100668,912,0.073412219,598,0.048136521,212,0.017065121,1,1.26E-05,1640,0.020636978,5,6.29E-05,0,24999.67,4.46,106.1303223,49.11273325,49.11273325
2019,1/1/2019,60610,37,37,201901,547050,338,78,184,333.8062535,1400,1138136,396,60610,47513,51294,2585,1171,0.054,0.025,5.4,109,0.002294109,10,0.000210469,105,0.008452065,232,0.018675038,219,0.017628592,13,0.000273609,57,0.001199672,7,0.000147328,1,24999.67,4.46,291.0818757,42.7243778,42.7243778
2019,1/1/2019,60612,11,11,201901,392050,65,69,44,157.8939394,1434,533968,95,60612,37990,25143,364083,252,9.584,0.007,2.8,285,0.007501974,12,0.000315873,476,0.038316027,698,0.056186106,183,0.014730741,0,0,1117,0.029402474,1,2.63E-05,0,24999.67,4.46,161.2108944,-3.316955013,3.316955013
2019,1/1/2019,60613,12,12,201901,325050,199,59,140,216.8627451,900,546452,290,60613,50548,48381,4890,937,0.097,0.019,7.3,168,0.003323574,12,0.000237398,498,0.040086936,343,0.027610078,261,0.021009418,3,5.93E-05,10,0.000197832,5,9.89E-05,2,24999.67,4.46,222.626335,-5.763589926,5.763589926
2019,1/1/2019,60614,22,22,201901,789500,419,68,304,328.3809254,1422,1214950,572,60614,65474,68324,7996,1735,0.122,0.026,9,191,0.002917189,8,0.000122186,683,0.054978669,534,0.042984786,412,0.033164292,13,0.000198552,17,0.000259645,11,0.000168006,3,24999.67,4.46,315.1960828,13.18484257,13.18484257
2019,1/1/2019,60615,8,8,201901,190050,132,75.5,32,123.9583333,1200,327841,181,60615,45096,31571,4838,242,0.107,0.005,2.8,139,0.003082313,4,8.87E-05,236,0.018997022,213,0.017145617,122,0.009820494,3,6.65E-05,348,0.007716871,5,0.000110875,2,24999.67,4.46,127.4710987,-3.512765388,3.512765388
