lat,lng,detail,Zip
41.82,-87.67,"{'house_number': '4200', 'road': 'South Hermitage Avenue', 'neighbourhood': 'New City', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.83,-87.68,"{'house_number': '3513', 'road': 'South Leavitt Street', 'neighbourhood': 'McKinley Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.82,-87.64,"{'house_number': '534', 'road': 'West 41st Street', 'industrial': 'Stockyards Industrial Corridor', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.81,-87.64,"{'house_number': '538', 'road': 'West 46th Place', 'neighbourhood': 'New City', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.83,-87.65,"{'house_number': '950-952', 'road': 'West 35th Place', 'neighbourhood': 'Bridgeport', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.82,-87.65,"{'house_number': '4045', 'road': 'South Morgan Street', 'industrial': 'Stockyards Industrial Corridor', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.83,-87.63,"{'house_number': '3533', 'road': 'South La Salle Street', 'neighbourhood': 'Armour Square', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.81,-87.63,"{'house_number': '142', 'road': 'West Swann Street', 'neighbourhood': 'Fuller Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.8,-87.64,"{'house_number': '600', 'road': 'West 52nd Street', 'neighbourhood': 'New City', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.82,-87.66,"{'house_number': '1318', 'road': 'West 41st Street', 'industrial': 'Stockyards Industrial Corridor', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.83,-87.66,"{'house_number': '1401', 'road': 'West 35th Street', 'neighbourhood': 'McKinley Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.89,-87.63,"{'building': '407 N Clark St', 'road': 'West Hubbard Street', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60610', 'country': 'United States of America', 'country_code': 'us'}",60610
41.9,-87.63,"{'amenity': 'The Newberry Library', 'house_number': '60', 'road': 'West Walton Street', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60610', 'country': 'United States of America', 'country_code': 'us'}",60610
41.91,-87.63,"{'house_number': '1517', 'road': 'North Dearborn Parkway', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60610', 'country': 'United States of America', 'country_code': 'us'}",60610
41.9,-87.64,"{'house_number': '954-984', 'road': 'North Hudson Avenue', 'neighbourhood': 'Chicago River North', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60610', 'country': 'United States of America', 'country_code': 'us'}",60610
41.93,-87.63,"{'road': 'Lakefront Trail (foot)', 'neighbourhood': 'Near North Side', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60610', 'country': 'United States of America', 'country_code': 'us'}",60610
41.9,-87.62,"{'building': 'Esplanade Apartments Ii', 'house_number': '910', 'road': 'North Lake Shore Drive', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60611', 'country': 'United States of America', 'country_code': 'us'}",60611
41.89,-87.61,"{'amenity': 'Polk Bros Park City Stage', 'road': 'Lakefront Trail Connector', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60611', 'country': 'United States of America', 'country_code': 'us'}",60611
41.89,-87.6,"{'man_made': 'Dime Pier', 'road': 'Dock Street', 'neighbourhood': 'Near North Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60611', 'country': 'United States of America', 'country_code': 'us'}",60611
41.87,-87.68,"{'building': 'West Side Center for Disease Control', 'house_number': '2160-2170', 'road': 'West Ogden Avenue', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'district': 'Illinois Medical District', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.88,-87.67,"{'amenity': 'D', 'road': 'West Arcade Place', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.89,-87.68,"{'house_number': '2100', 'road': 'West Hubbard Street', 'industrial': 'Kinzie Industrial Corridor', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.88,-87.68,"{'house_number': '2102', 'road': 'West Monroe Street', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.88,-87.7,"{'house_number': '2945', 'road': 'West 5th Avenue', 'neighbourhood': 'East Garfield Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.88,-87.69,"{'house_number': '2533', 'road': 'West Monroe Street', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
41.89,-87.67,"{'house_number': '1700', 'road': 'West Hubbard Street', 'industrial': 'Kinzie Industrial Corridor', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60612', 'country': 'United States of America', 'country_code': 'us'}",60612
